year	month	Open	High	Low	Close	Volume	Adj.Close*
1934	10	92.17	96.36	89.84	93.36	6822	93.36
1934	11	93.36	103.51	92.79	102.94	10278	102.94
1934	12	102.77	104.46	98.93	104.04	10975	104.04
1935	1	104.04	106.71	99.54	101.69	8227	101.69
1935	2	101.69	108.29	99.95	102.38	7444	102.38
1935	3	102.38	103.59	95.95	100.78	7090	100.78
1935	4	100.81	111.52	99.75	109.45	9800	109.45
1935	5	109.45	117.62	107.82	110.64	13345	110.64
1935	6	110.15	121.3	110.15	118.36	10240	118.36
1935	7	118.21	127.04	117.8	126.23	13286	126.23
1935	8	126.23	129.97	124.28	127.35	17786	127.35
1935	9	127.89	135.34	126.43	131.92	16425	131.92
1935	10	131.92	142.08	126.95	139.74	19826	139.74
1935	11	140.07	149.42	139.99	142.34	29494	142.34
1935	12	142.35	145.13	138.33	144.13	20861	144.13
1936	1	144.13	150	141.55	149.49	29304	149.49
1936	2	149.58	155.69	148.32	152.53	30563	152.53
1936	3	152.15	159.87	149.65	156.34	21663	156.34
1936	4	157.04	163.07	141.53	145.67	18461	145.67
1936	5	145.67	153.57	144.18	152.64	9433	152.64
1936	6	152.64	161.15	148.52	157.69	9531	157.69
1936	7	157.69	168.23	154.85	164.86	14556	164.86
1936	8	165.42	170.15	160.52	166.29	11880	166.29
1936	9	166.29	170.72	164.82	167.82	13742	167.82
1936	10	167.82	178.44	167.54	177.15	19328	177.15
1936	11	177.19	186.39	175.35	183.22	26366	183.22
1936	12	183.22	183.59	175.31	179.9	21336	179.9
1937	1	178.39	187.8	176.96	184.74	27555	184.74
1937	2	185.74	191.39	184.85	187.17	25961	187.17
1937	3	187.3	195.59	179.28	186.41	21772	186.41
1937	4	186.41	186.63	168.77	174.27	15318	174.27
1937	5	174.42	176.91	166.2	174.71	8735	174.71
1937	6	172.69	175.4	163.31	169.32	7227	169.32
1937	7	169.32	185.15	169.13	184.01	9485	184.01
1937	8	185.61	189.94	175.09	177.41	7459	177.41
1937	9	176.11	176.11	146.22	154.57	14804	154.57
1937	10	154.57	155.11	115.84	138.48	24775	138.48
1937	11	137.01	137.01	112.54	123.48	14089	123.48
1937	12	123.48	131.15	117.71	120.85	12073	120.85
1938	1	120.85	134.95	118.94	121.87	10752	121.87
1938	2	122.69	132.86	117.13	129.64	7389	129.64
1938	3	129.64	131.03	97.46	98.95	9534	98.95
1938	4	100.95	121.54	100.95	111.66	7030	111.66
1938	5	110.55	120.28	106.44	107.74	6247	107.74
1938	6	107.74	138.19	107.58	133.88	11495	133.88
1938	7	133.88	146.31	133.53	141.2	18075	141.2
1938	8	140.96	145.89	135.38	139.27	8439	139.27
1938	9	139.27	143.42	127.85	141.45	11152	141.45
1938	10	143.13	155.38	142.64	151.73	18695	151.73
1938	11	151.73	158.9	145.21	149.82	13873	149.82
1938	12	149.82	154.94	146.44	154.36	12547	154.36
1939	1	154.76	155.47	136.1	143.76	11409	143.76
1939	2	143.47	148.16	141.92	147.3	7194	147.3
1939	3	147.3	152.71	131.35	131.84	10839	131.84
1939	4	132.83	135.57	120.04	128.38	8826	128.38
1939	5	128.45	139.23	127.53	138.18	5763	138.18
1939	6	137.36	140.75	128.97	130.63	5359	130.63
1939	7	131.73	145.72	131.18	143.26	8520	143.26
1939	8	143.26	145.75	128.6	134.41	7191	134.41
1939	9	134.41	157.77	127.51	150.16	26180	150.16
1939	10	152.36	155.95	148.73	151.88	10904	151.88
1939	11	151.88	153.18	144.85	145.69	9070	145.69
1939	12	145.69	150.7	145.51	149.99	8560	149.99
1940	1	150.45	153.29	143.06	145.33	6931	145.33
1940	2	145.33	150.04	144.69	146.54	6673	146.54
1940	3	146.54	149.45	145.08	147.54	7535	147.54
1940	4	147.95	152.09	145.86	148.43	11386	148.43
1940	5	148.14	148.7	110.51	116.22	16500	116.22
1940	6	115.67	125.31	110.41	122.06	7675	122.06
1940	7	121.77	127.18	120.14	126.14	3377	126.14
1940	8	126.14	129.18	120.9	128.88	3318	128.88
1940	9	129.42	135.48	127.22	132.64	5735	132.64
1940	10	133.04	135.86	129.47	134.61	6517	134.61
1940	11	134.61	138.77	129.13	130.03	10427	130.03
1940	12	131	133	127.83	131.13	8261	131.13
1941	1	131.13	134.27	123.86	124.13	5722	124.13
1941	2	123.28	125.27	117.43	121.97	4473	121.97
1941	3	121.65	124.35	119.98	122.72	4533	122.72
1941	4	122.87	125.28	115.33	115.54	5104	115.54
1941	5	115.54	118.45	114.78	116.23	4304	116.23
1941	6	115.76	125.14	115.52	123.14	4814	123.14
1941	7	123.14	131.1	122.54	128.79	8040	128.79
1941	8	128.68	128.68	124.66	127.43	4780	127.43
1941	9	127.77	130	125.33	126.82	6233	126.82
1941	10	126.82	127.2	117.4	117.82	5813	117.82
1941	11	118.11	120.34	114.1	114.66	8370	114.66
1941	12	114.23	117.54	105.52	110.96	16009	110.96
1942	1	110.96	114.96	108.3	109.41	5633	109.41
1942	2	109.11	111.04	104.67	106.58	4133	106.58
1942	3	106.49	107.16	98.32	99.53	3690	99.53
1942	4	99.53	102.75	92.69	95.35	3442	95.35
1942	5	95.35	101.5	95.08	100.88	3271	100.88
1942	6	100.96	106.63	100.93	103.34	3259	103.34
1942	7	103.29	109.49	102.27	105.72	3617	105.72
1942	8	105.9	107.88	104.5	106.33	3328	106.33
1942	9	106.33	109.98	105.58	109.11	4347	109.11
1942	10	109.16	116.01	109.16	113.5	6995	113.5
1942	11	114.07	118.18	113.46	114.5	6955	114.5
1942	12	114.5	120.19	114.08	119.4	8654	119.4
1943	1	119.93	125.71	118.84	125.41	8555	125.41
1943	2	125.58	130.43	124.69	129.71	12805	129.71
1943	3	130.11	137.2	127.91	136.57	15504	136.57
1943	4	136.57	137.45	129.79	135.48	15204	135.48
1943	5	136.2	141.58	136.08	141.18	16160	141.18
1943	6	142.06	143.7	138.07	143.38	10168	143.38
1943	7	143.38	146.41	136.72	137.25	11904	137.25
1943	8	135.95	138.83	133.87	136.62	6295	136.62
1943	9	136.65	142.5	136.37	140.12	6704	140.12
1943	10	140.12	140.63	135.92	138.29	6590	138.29
1943	11	138.27	138.96	128.94	129.57	9205	129.57
1943	12	129.76	136.73	129.76	135.89	8395	135.89
1944	1	135.89	138.89	135.51	137.4	7900	137.4
1944	2	137.4	137.69	134.1	136.3	8470	136.3
1944	3	136.3	141.43	135.86	138.84	11413	138.84
1944	4	138.66	139.45	134.75	136.21	6821	136.21
1944	5	136.23	142.44	136.18	142.24	7772	142.24
1944	6	142.24	149.15	140.9	148.38	16700	148.38
1944	7	148.46	150.88	145.26	146.11	12910	146.11
1944	8	146.11	149.28	144.48	146.99	8926	146.99
1944	9	146.99	147.47	142.53	146.31	7675	146.31
1944	10	146.73	149.2	145.33	146.53	7995	146.53
1944	11	146.53	148.39	145.17	147.33	8975	147.33
1944	12	147.33	152.75	146.76	151.93	14420	151.93
1945	1	152.32	156.68	150.53	153.67	16859	153.67
1945	2	153.67	160.85	153.22	160.4	17627	160.4
1945	3	160.4	162.22	151.74	154.06	12166	154.06
1945	4	154.51	165.71	154.51	165.44	13280	165.44
1945	5	165.44	169.53	162.6	168.3	13786	168.3
1945	6	168.3	169.55	163.78	164.57	18561	164.57
1945	7	165.39	167.79	159.95	162.88	9933	162.88
1945	8	162.88	174.54	161.14	174.29	10847	174.29
1945	9	174.29	180.8	173.23	180.11	12663	180.11
1945	10	181.93	187.55	181.93	186.6	16400	186.6
1945	11	187.02	192.95	186.44	191.46	20178	191.46
1945	12	192.4	196.59	187.51	192.91	16268	192.91
1946	1	192.65	206.59	189.77	204.67	22200	204.67
1946	2	204.67	207.49	184.05	190.09	17777	190.09
1946	3	190.09	201.85	186.77	199.56	11523	199.56
1946	4	199.75	209.36	198.47	206.77	14180	206.77
1946	5	206.59	213.36	199.26	212.28	13618	212.28
1946	6	212.28	212.48	198.98	205.62	11365	205.62
1946	7	205.79	208.59	194.33	201.56	9827	201.56
1946	8	201.56	205.01	187.26	189.19	9995	189.19
1946	9	188.21	188.21	164.09	172.42	22270	172.42
1946	10	172.42	177.05	160.49	169.15	13552	169.15
1946	11	169.5	175.78	162.29	169.78	12300	169.78
1946	12	169.07	178.58	166.2	177.2	13847	177.2
1947	1	177.2	181.34	170.13	180.44	10340	180.44
1947	2	180.88	184.96	176.34	178.9	11700	178.9
1947	3	179.29	182.48	171.94	177.2	8580	177.2
1947	4	177.2	178.28	165.39	170.64	9328	170.64
1947	5	170.64	175.08	161.38	169.25	9447	169.25
1947	6	168.66	178.08	167.43	177.3	8642	177.3
1947	7	177.48	187.66	177.48	183.18	11954	183.18
1947	8	183.18	184.38	176.54	178.85	7023	178.85
1947	9	178.85	180.56	174.02	177.49	8090	177.49
1947	10	177.49	186.24	176.89	181.81	12600	181.81
1947	11	182.48	183.97	179.3	179.51	9241	179.51
1947	12	179.4	181.82	175.19	181.16	12250	181.16
1948	1	181.16	181.69	170.7	174.76	9461	174.76
1948	2	175.05	176.05	164.07	166.8	9100	166.8
1948	3	167.46	177.61	165.03	177.2	10195	177.2
1948	4	177.2	184.48	175.96	180.51	15286	180.51
1948	5	180.28	192.31	179.47	190.74	19740	190.74
1948	6	190.74	194.49	186.56	189.46	14513	189.46
1948	7	189.46	192.38	179.58	181.33	12338	181.33
1948	8	181.33	184.54	177.4	181.71	7118	181.71
1948	9	181.71	185.64	175.84	178.3	9123	178.3
1948	10	178.3	190.88	178.22	188.28	9675	188.28
1948	11	188.62	190.45	170.35	171.2	14526	171.2
1948	12	171.67	179.15	171.67	177.3	12217	177.3
1949	1	176.99	182.5	174.37	179.12	8685	179.12
1949	2	179.12	180.94	170.56	173.06	8684	173.06
1949	3	173.36	179.19	172.59	177.1	9034	177.1
1949	4	177.04	177.78	172.26	174.06	9160	174.06
1949	5	174.16	177.18	168.14	168.36	8857	168.36
1949	6	168.36	168.98	160.62	167.42	8350	167.42
1949	7	167.42	177.04	166.94	175.92	9710	175.92
1949	8	175.92	182.67	175.68	178.66	9791	178.66
1949	9	178.66	184.09	177.63	182.51	11880	182.51
1949	10	181.98	191.44	180.9	189.54	13980	189.54
1949	11	189.54	194.35	186.98	191.55	14026	191.55
1949	12	191.55	200.91	191.12	200.52	18066	200.52
1950	1	200.13	202.92	193.94	201.79	19266	201.79
1950	2	201.79	205.39	200.59	203.44	17505	203.44
1950	3	203.44	211.22	201.14	206.05	17100	206.05
1950	4	206.37	216.32	205.93	213.56	23589	213.56
1950	5	214.33	224.24	214.06	223.42	19890	223.42
1950	6	223.42	229.2	206.03	209.11	21963	209.11
1950	7	209.11	212.19	195.4	209.4	23080	209.4
1950	8	209.56	222.17	209.55	216.87	17408	216.87
1950	9	217.12	228.17	217.12	226.36	20195	226.36
1950	10	226.46	232.75	223.59	225.01	22476	225.01
1950	11	225.01	236.63	220.59	227.6	21460	227.6
1950	12	227.6	236.52	221.31	235.42	29355	235.42
1951	1	235.41	250.56	234.93	248.83	30800	248.83
1951	2	248.83	257.06	247.04	252.05	21611	252.05
1951	3	252.05	254.42	242.06	248.53	15990	248.53
1951	4	247.82	260.83	244.98	259.13	15971	259.13
1951	5	259.13	264.44	241.89	249.65	16995	249.65
1951	6	249.65	255.23	240.72	242.64	18071	242.64
1951	7	242.64	262.21	241.06	257.86	14066	257.86
1951	8	257.86	271.64	256.81	270.25	15286	270.25
1951	9	270.25	277.51	269.08	271.16	19900	271.16
1951	10	271.16	277.3	256.39	262.35	18518	262.35
1951	11	262.35	265.82	254.91	261.27	13215	261.27
1951	12	262.29	270	261.73	269.23	14500	269.23
1952	1	269.23	276.26	266.34	270.69	16513	270.69
1952	2	270.69	272.91	257.44	260.08	13778	260.08
1952	3	260.27	270.4	258.95	269.46	13457	269.46
1952	4	269.46	269.81	257.04	257.63	13361	257.63
1952	5	257.44	265.17	254.7	262.94	11214	262.94
1952	6	262.94	274.97	260.83	274.26	12814	274.26
1952	7	274.26	280.25	271.73	279.56	11513	279.56
1952	8	279.56	281.47	272.28	275.04	10371	275.04
1952	9	275.1	278.16	267.08	270.61	12009	270.61
1952	10	270.61	272.36	262.01	269.23	12590	269.23
1952	11	269.23	284.65	268.79	283.66	19041	283.66
1952	12	283.66	293.5	280.68	291.9	19331	291.9
1953	1	291.9	295.06	284.29	289.77	17057	289.77
1953	2	289.77	290.94	279.72	284.27	17866	284.27
1953	3	284.27	291.96	277.57	279.87	20740	279.87
1953	4	279.87	281.81	269.25	274.75	16909	274.75
1953	5	274.75	280.01	270.65	272.28	12690	272.28
1953	6	272.28	272.64	260.75	268.26	12227	268.26
1953	7	268.26	275.85	266.96	275.38	10243	275.38
1953	8	275.38	278.3	260.83	261.22	12419	261.22
1953	9	261.22	266.61	254.36	264.04	13376	264.04
1953	10	264.04	277.04	262.45	275.81	12909	275.81
1953	11	275.81	282.46	273.01	281.37	15888	281.37
1953	12	281.37	285.2	275.91	280.9	17563	280.9
1954	1	280.9	294.56	278.91	292.39	17685	292.39
1954	2	292.39	295.43	287.37	294.54	18510	294.54
1954	3	294.54	305.15	294.23	303.51	20321	303.51
1954	4	303.51	321.71	301.7	319.33	21880	319.33
1954	5	319.33	328.93	316.45	327.49	21920	327.49
1954	6	327.49	338.78	315.66	333.53	20081	333.53
1954	7	333.53	349.21	330.68	347.92	26019	347.92
1954	8	347.92	352.27	333.21	335.8	27063	335.8
1954	9	335.8	366.02	334.97	360.46	20504	360.46
1954	10	360.46	366.4	350.72	352.14	21938	352.14
1954	11	352.14	391.21	350.16	386.77	33225	386.77
1954	12	386.77	407.17	381.81	404.39	36509	404.39
1955	1	404.39	412.47	385.65	408.83	37214	408.83
1955	2	408.83	416.55	403.51	411.87	33384	411.87
1955	3	411.87	421.83	387.5	409.7	29765	409.7
1955	4	409.78	432.76	409.78	425.65	28010	425.65
1955	5	425.65	428.27	412.6	424.86	22590	424.86
1955	6	424.86	453.48	422.48	451.38	27495	451.38
1955	7	451.38	471.73	449.5	465.85	25270	465.85
1955	8	465.85	469.51	445.67	468.18	18978	468.18
1955	9	468.18	489.94	446.74	466.62	29628	466.62
1955	10	465.4	465.4	433.19	454.87	20928	454.87
1955	11	454.87	490.75	452.12	483.26	24630	483.26
1955	12	483.26	490.56	478.32	488.4	25623	488.4
1956	1	488.4	490.92	458.21	470.74	23361	470.74
1956	2	470.74	491.09	463.89	483.65	25135	483.65
1956	3	483.65	515.86	483.63	511.79	30376	511.79
1956	4	511.79	524.37	500.99	516.12	27061	516.12
1956	5	516.12	519.8	463.85	478.05	25104	478.05
1956	6	478.05	494.82	467.99	492.78	18552	492.78
1956	7	492.78	519.97	488.36	517.81	22938	517.81
1956	8	517.81	523.33	492.19	502.04	20030	502.04
1956	9	502.04	512.68	474.23	475.25	20494	475.25
1956	10	475.25	494.11	463.83	479.85	18513	479.85
1956	11	480.23	500.52	460.41	472.78	22925	472.78
1956	12	474.26	501.56	474.26	499.47	26321	499.47
1957	1	499.47	502.57	471.06	479.16	22754	479.16
1957	2	479.16	479.76	453.07	464.62	20605	464.62
1957	3	464.62	477.58	463.66	474.81	17747	474.81
1957	4	474.81	497.22	473.09	494.36	24042	494.36
1957	5	494.36	508.87	492.29	504.93	24822	504.93
1957	6	504.93	516.81	492.87	503.29	22620	503.29
1957	7	503.29	523.11	500.75	508.52	22754	508.52
1957	8	508.52	509.98	469.03	484.35	19540	484.35
1957	9	484.35	487.59	452.19	456.3	19205	456.3
1957	10	456.3	468.15	416.15	441.04	28752	441.04
1957	11	438.76	452.49	425.46	449.87	26810	449.87
1957	12	449.87	452.16	423.86	435.69	28338	435.69
1958	1	435.69	453.63	434.37	450.02	23572	450.02
1958	2	450.02	459.77	434.04	439.92	20885	439.92
1958	3	439.92	457.27	439.24	446.76	23204	446.76
1958	4	446.76	458.33	437.25	455.86	25319	455.86
1958	5	455.86	465.32	453.84	462.7	26880	462.7
1958	6	462.7	482.11	462.7	478.18	28300	478.18
1958	7	478.18	508.39	472.07	502.99	33577	502.99
1958	8	502.99	514.44	499.82	508.63	30742	508.63
1958	9	508.63	535	508.39	532.09	36238	532.09
1958	10	532.09	549.71	527.68	543.22	43017	543.22
1958	11	543.22	572.05	538.43	557.46	43594	557.46
1958	12	557.46	587.44	553.7	583.65	38052	583.65
1959	1	583.65	601.74	580.54	593.96	41352	593.96
1959	2	593.96	607.61	571.73	603.5	36889	603.5
1959	3	603.5	618.8	599.21	601.71	40595	601.71
1959	4	601.71	635.29	599.65	623.75	36068	623.75
1959	5	623.75	647.24	611.68	643.79	35114	643.79
1959	6	643.79	648.65	613.11	643.6	30686	643.6
1959	7	643.6	678.67	643.6	674.88	33259	674.88
1959	8	674.88	683.9	639.34	664.41	25328	664.41
1959	9	664.41	664.95	613.3	631.68	28738	631.68
1959	10	631.68	649.4	624.55	646.6	29495	646.6
1959	11	646.6	661.23	630.99	659.18	35878	659.18
1959	12	659.97	682.72	658.48	679.36	34554	679.36
1960	1	679.36	688.21	619.51	622.62	33490	622.62
1960	2	622.62	640.3	603.34	630.12	31745	630.12
1960	3	630.12	632.65	596.2	616.59	29739	616.59
1960	4	616.59	637.16	598.35	601.7	30075	601.7
1960	5	601.7	631.44	596.61	625.5	34542	625.5
1960	6	625.5	663.64	620.61	640.62	36100	640.62
1960	7	640.62	650.1	597.3	616.73	28295	616.73
1960	8	616.73	645.3	600.28	625.99	29765	625.99
1960	9	625.99	630.95	565.49	580.14	30576	580.14
1960	10	580.14	600.03	564.23	580.36	27061	580.36
1960	11	580.36	614.09	579.43	597.22	32545	597.22
1960	12	597.22	621.33	589.82	615.89	39347	615.89
1961	1	615.89	655.18	606.09	648.2	44619	648.2
1961	2	648.2	667.03	632.81	662.08	51873	662.08
1961	3	662.08	685.32	656.36	676.63	54845	676.63
1961	4	676.63	700.75	671.64	678.71	52735	678.71
1961	5	678.71	714.69	672.98	696.72	48219	696.72
1961	6	696.72	708.88	673.49	683.96	34304	683.96
1961	7	683.96	709.75	674.8	705.37	32005	705.37
1961	8	705.37	730.17	702.21	719.94	36700	719.94
1961	9	719.94	733.53	688.87	701.21	33440	701.21
1961	10	701.21	714.07	693.12	703.92	34695	703.92
1961	11	703.92	741.3	700.12	721.6	45990	721.6
1961	12	721.6	739.88	714.6	731.14	43875	731.14
1962	1	731.14	734.38	686.89	700	38468	700
1962	2	700	721.39	696.07	708.05	36400	708.05
1962	3	708.05	727.14	703.27	706.95	32450	706.95
1962	4	706.95	709.74	661.48	665.33	34695	665.33
1962	5	665.33	679.2	553.75	613.36	55336	613.36
1962	6	613.36	616.54	524.55	561.28	49942	561.28
1962	7	561.28	601.15	557.31	597.93	37309	597.93
1962	8	597.64	622.02	582.12	609.18	36186	609.18
1962	9	609.18	612.44	572.16	578.98	34600	578.98
1962	10	578.98	594.79	549.65	589.77	35556	589.77
1962	11	589.77	655.95	582.66	649.3	50295	649.3
1962	12	649.3	658.78	636.88	652.1	43145	652.1
1963	1	652.1	686.91	643.57	682.85	48290	682.85
1963	2	682.85	694.27	661.27	662.94	43794	662.94
1963	3	662.94	687.37	656.66	682.52	37214	682.52
1963	4	682.52	721.92	680.55	717.7	52842	717.7
1963	5	717.7	730.43	708.16	726.96	49886	726.96
1963	6	726.96	732.97	702.42	706.88	46800	706.88
1963	7	706.88	719.02	684.41	695.43	36486	695.43
1963	8	695.43	731.68	691.23	729.32	43731	729.32
1963	9	729.32	753.04	728.63	732.79	55175	732.79
1963	10	732.79	767.24	732.49	755.23	55386	755.23
1963	11	755.23	759.56	710.83	750.52	54888	750.52
1963	12	750.52	773.07	746.78	762.95	50185	762.95
1964	1	762.95	791.63	760.34	785.34	54827	785.34
1964	2	785.34	803.46	777.99	800.14	48994	800.14
1964	3	800.14	824.72	798.05	813.29	56680	813.29
1964	4	813.29	831.63	807.18	810.77	58718	810.77
1964	5	810.77	836.06	808.55	820.56	51855	820.56
1964	6	820.56	835.9	796.9	831.5	45686	831.5
1964	7	831.5	855.19	829.3	841.1	48550	841.1
1964	8	841.1	847.19	820.78	838.48	40771	838.48
1964	9	838.48	880.24	836.56	875.37	54519	875.37
1964	10	875.37	886.28	861.42	873.08	50304	873.08
1964	11	873.08	897	866.8	875.43	51857	875.43
1964	12	875.43	881.35	850.19	874.13	50218	874.13
1965	1	874.13	907.79	865.1	902.86	58035	902.86
1965	2	902.86	911.8	877.48	903.48	62147	903.48
1965	3	903.48	907.88	884.68	889.05	56217	889.05
1965	4	889.05	925.42	886.84	922.31	59195	922.31
1965	5	922.31	944.82	904.82	918.04	57230	918.04
1965	6	918.04	921.85	832.74	868.03	61404	868.03
1965	7	868.03	889.98	857.71	881.74	43023	881.74
1965	8	881.74	901.88	874.78	893.1	51927	893.1
1965	9	893.1	944.96	886.96	930.58	78023	930.58
1965	10	930.58	967.46	923.23	960.82	81585	960.82
1965	11	960.82	969.98	937.24	946.71	78050	946.71
1965	12	946.71	976.61	924.44	969.26	90131	969.26
1966	1	969.26	1000.55	961.91	983.51	90814	983.51
1966	2	983.51	1001.11	946.1	951.89	92473	951.89
1966	3	951.89	955.17	905.4	924.77	86108	924.77
1966	4	924.77	961.91	921.77	933.68	96690	933.68
1966	5	933.68	939.64	859.13	884.07	84314	884.07
1966	6	884.07	910.35	858.9	870.1	67136	870.1
1966	7	870.1	901.16	843.76	847.38	62480	847.38
1966	8	846.6	860.57	759.52	788.41	74400	788.41
1966	9	788.41	822.93	763.36	774.22	60095	774.22
1966	10	774.22	816.64	735.74	807.07	72414	807.07
1966	11	807.07	827.33	784.79	791.59	76505	791.59
1966	12	791.59	827.22	779.34	785.69	84000	785.69
1967	1	785.69	857.02	776.16	849.89	104261	849.89
1967	2	849.89	871.71	827.95	839.37	101536	839.37
1967	3	839.37	883.41	835.3	865.98	105804	865.98
1967	4	865.98	903.73	838.98	897.05	99425	897.05
1967	5	897.05	915.87	850.39	852.56	103313	852.56
1967	6	852.56	892.8	836.92	860.26	100200	860.26
1967	7	860.26	918.69	853.21	904.24	113530	904.24
1967	8	904.24	933.14	887.83	901.29	94191	901.29
1967	9	901.29	951.57	894.19	926.66	107335	926.66
1967	10	926.66	940.36	876.21	879.74	107636	879.74
1967	11	879.74	894.88	839.4	875.81	110145	875.81
1967	12	875.81	910.37	868.76	905.11	122205	905.11
1968	1	905.11	921.87	850.5	855.47	123718	855.47
1968	2	855.47	871.3	826.46	840.5	95831	840.5
1968	3	840.5	854.25	817.61	840.67	96004	840.67
1968	4	849.23	918.11	849.23	912.22	154900	912.22
1968	5	912.22	935.68	885.53	899	138668	899
1968	6	899	924.93	891.48	897.8	158429	897.8
1968	7	897.8	933.83	876.99	883	148647	883
1968	8	883	902.35	863.33	896.01	112311	896.01
1968	9	896.01	945.86	892.59	935.79	142300	935.79
1968	10	935.79	974.27	932.93	952.39	161027	952.39
1968	11	952.39	989.56	936.54	985.08	156611	985.08
1968	12	985.08	994.65	936.66	943.75	155894	943.75
1969	1	943.75	960.16	915.53	946.05	126645	946.05
1969	2	946.05	959.16	895.39	905.21	120266	905.21
1969	3	905.21	941.38	895.76	935.48	105770	935.48
1969	4	935.48	956.28	908.81	950.18	122038	950.18
1969	5	950.18	974.92	928.58	937.56	127785	937.56
1969	6	937.56	938.73	862.46	873.19	116080	873.19
1969	7	873.19	893.87	788.07	815.47	115433	815.47
1969	8	815.6	843.72	800.62	836.72	100252	836.72
1969	9	836.72	845.96	804.45	813.09	108728	813.09
1969	10	813.09	868	793.95	855.99	140526	855.99
1969	11	855.99	871.77	800.36	812.3	116921	812.3
1969	12	812.3	816.39	764.45	800.36	132604	800.36
1970	1	800.36	819.23	739.11	744.06	111147	744.06
1970	2	744.06	784.19	738.78	777.59	126984	777.59
1970	3	777.59	803.26	757.99	785.57	105357	785.57
1970	4	785.57	798.84	716.74	736.07	105909	736.07
