x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	y
8.644	9.294	10.049	10.380	9.673	10.415	8.549	11.145	9.749	11.052	5.690
7.464	7.847	7.479	7.740	8.151	7.883	8.404	9.547	8.138	7.555	9.659
7.315	6.942	8.303	6.871	7.509	7.960	10.174	8.218	6.996	7.224	10.725
10.534	9.886	8.008	10.618	9.963	10.660	9.442	10.070	10.833	9.805	12.162
9.491	9.222	9.620	9.494	8.162	9.439	9.792	9.180	9.293	8.947	13.941
8.689	8.468	8.989	8.589	10.200	9.824	10.821	10.840	9.656	8.083	10.862
9.395	8.478	8.282	7.333	8.445	6.082	9.561	9.122	9.043	7.625	15.322
11.254	11.399	14.299	10.243	11.071	9.480	11.714	11.087	11.245	11.960	15.447
10.426	9.200	11.610	9.942	11.024	9.712	12.011	8.652	9.092	9.917	16.329
10.076	9.491	7.042	9.520	8.551	9.993	10.216	9.209	9.851	7.517	12.767
8.055	8.498	7.970	8.013	8.796	8.061	9.003	9.302	8.402	8.903	10.005
13.343	14.048	14.243	13.793	16.029	13.954	11.141	11.895	13.107	14.366	11.437
15.140	13.434	13.900	14.323	14.946	12.231	13.474	10.114	13.121	14.180	21.753
8.582	8.344	9.146	6.852	9.199	6.655	9.573	7.452	7.151	7.450	16.423
12.756	12.483	12.852	12.204	12.306	11.797	10.851	10.148	11.568	12.669	18.863
10.352	10.971	8.656	10.603	9.026	9.156	8.384	9.989	10.606	10.979	10.402
6.988	7.260	8.602	7.434	4.816	7.600	8.540	8.287	7.111	5.700	8.465
9.829	9.898	10.882	10.732	10.485	11.029	10.533	11.737	10.975	12.650	11.864
8.729	9.788	7.639	10.237	9.989	11.730	8.701	10.250	9.522	9.140	6.653
10.740	10.170	9.700	9.504	8.086	8.663	9.579	9.467	10.236	8.707	15.527
7.577	7.991	5.975	7.961	7.004	9.559	7.458	9.787	8.683	7.326	12.088
7.591	8.273	9.873	8.173	7.970	8.145	9.176	10.203	8.344	8.813	10.636
9.012	9.317	7.562	9.719	8.593	8.958	8.424	8.916	9.011	8.366	8.115
7.876	9.682	10.087	9.810	7.550	8.530	7.192	9.412	8.192	11.078	6.973
9.257	9.020	10.995	10.098	10.457	10.117	10.151	11.391	10.196	11.148	12.453
9.269	9.942	8.447	8.803	9.282	9.263	8.875	10.054	9.641	8.305	12.590
9.078	9.405	8.247	7.725	7.180	8.152	9.026	9.183	9.078	5.738	12.278
8.082	7.909	9.500	8.960	11.922	10.811	10.244	8.898	7.791	10.138	11.397
10.542	11.207	8.382	11.186	11.528	12.569	9.766	11.894	11.786	10.550	9.196
9.509	9.239	9.698	8.719	8.634	9.892	10.328	9.677	9.357	8.292	14.979
10.508	10.164	9.086	11.076	10.672	11.543	9.755	10.746	10.875	10.638	9.803
14.190	14.228	12.963	14.040	14.618	12.492	11.702	10.682	13.096	13.902	18.144
8.214	8.788	9.800	9.406	10.248	10.228	9.539	10.554	9.199	9.692	8.178
11.966	11.743	12.934	11.814	12.167	11.852	10.660	10.695	11.158	12.047	14.565
9.178	9.166	8.202	9.386	8.080	10.350	8.811	9.619	9.418	9.093	11.013
10.550	9.967	10.228	10.007	9.932	11.623	10.981	11.944	11.458	11.860	14.087
9.054	9.194	8.471	10.271	8.642	8.971	8.796	8.957	8.801	10.318	11.472
9.466	7.868	9.822	8.374	9.794	9.428	11.846	10.656	9.987	8.163	15.892
6.686	7.612	8.963	6.705	6.167	5.650	7.601	7.835	6.305	7.094	12.222
9.883	9.111	8.345	8.330	7.915	8.274	10.262	9.150	9.650	7.158	16.762
11.063	11.580	12.128	10.303	10.540	8.851	10.120	9.710	10.283	11.352	11.335
11.722	11.054	10.086	10.964	11.303	10.183	11.002	10.139	11.375	11.103	16.529
7.632	8.345	8.574	7.568	6.479	6.228	8.242	7.164	6.842	7.368	10.812
11.972	11.654	10.651	11.606	10.366	11.195	10.316	8.976	10.685	11.057	14.880
11.514	10.751	10.535	9.437	11.794	9.952	11.866	9.861	10.871	9.109	18.461
10.586	9.907	8.278	10.468	8.911	10.656	10.246	11.191	11.593	10.212	12.889
