mtempc	year	month	jan	feb	mar	apr	may	june	july	aug	sept	oct	nov
-1.7	1954	2	0	1	0	0	0	0	0	0	0	0	0
-1.1	1954	3	0	0	1	0	0	0	0	0	0	0	0
6.9	1954	4	0	0	0	1	0	0	0	0	0	0	0
11.2	1954	5	0	0	0	0	1	0	0	0	0	0	0
19.2	1954	6	0	0	0	0	0	1	0	0	0	0	0
20.1	1954	7	0	0	0	0	0	0	1	0	0	0	0
19.2	1954	8	0	0	0	0	0	0	0	1	0	0	0
15.4	1954	9	0	0	0	0	0	0	0	0	1	0	0
11	1954	10	0	0	0	0	0	0	0	0	0	1	0
4	1954	11	0	0	0	0	0	0	0	0	0	0	1
-3.2	1954	12	0	0	0	0	0	0	0	0	0	0	0
-5.7	1955	1	1	0	0	0	0	0	0	0	0	0	0
-5.1	1955	2	0	1	0	0	0	0	0	0	0	0	0
-1	1955	3	0	0	1	0	0	0	0	0	0	0	0
9.6	1955	4	0	0	0	1	0	0	0	0	0	0	0
14.7	1955	5	0	0	0	0	1	0	0	0	0	0	0
19.1	1955	6	0	0	0	0	0	1	0	0	0	0	0
24.2	1955	7	0	0	0	0	0	0	1	0	0	0	0
22.9	1955	8	0	0	0	0	0	0	0	1	0	0	0
15.8	1955	9	0	0	0	0	0	0	0	0	1	0	0
11	1955	10	0	0	0	0	0	0	0	0	0	1	0
2.4	1955	11	0	0	0	0	0	0	0	0	0	0	1
-5.3	1955	12	0	0	0	0	0	0	0	0	0	0	0
-5.6	1956	1	1	0	0	0	0	0	0	0	0	0	0
-4.3	1956	2	0	1	0	0	0	0	0	0	0	0	0
-2.3	1956	3	0	0	1	0	0	0	0	0	0	0	0
4.3	1956	4	0	0	0	1	0	0	0	0	0	0	0
10.1	1956	5	0	0	0	0	1	0	0	0	0	0	0
18.1	1956	6	0	0	0	0	0	1	0	0	0	0	0
19.4	1956	7	0	0	0	0	0	0	1	0	0	0	0
19.6	1956	8	0	0	0	0	0	0	0	1	0	0	0
13.1	1956	9	0	0	0	0	0	0	0	0	1	0	0
10.4	1956	10	0	0	0	0	0	0	0	0	0	1	0
3.9	1956	11	0	0	0	0	0	0	0	0	0	0	1
-1.1	1956	12	0	0	0	0	0	0	0	0	0	0	0
-8.4	1957	1	1	0	0	0	0	0	0	0	0	0	0
-3.8	1957	2	0	1	0	0	0	0	0	0	0	0	0
0.8	1957	3	0	0	1	0	0	0	0	0	0	0	0
7.7	1957	4	0	0	0	1	0	0	0	0	0	0	0
11.8	1957	5	0	0	0	0	1	0	0	0	0	0	0
19.2	1957	6	0	0	0	0	0	1	0	0	0	0	0
21.1	1957	7	0	0	0	0	0	0	1	0	0	0	0
19.2	1957	8	0	0	0	0	0	0	0	1	0	0	0
15.9	1957	9	0	0	0	0	0	0	0	0	1	0	0
8.9	1957	10	0	0	0	0	0	0	0	0	0	1	0
4.1	1957	11	0	0	0	0	0	0	0	0	0	0	1
0	1957	12	0	0	0	0	0	0	0	0	0	0	0
-5	1958	1	1	0	0	0	0	0	0	0	0	0	0
-7.5	1958	2	0	1	0	0	0	0	0	0	0	0	0
1.4	1958	3	0	0	1	0	0	0	0	0	0	0	0
8.1	1958	4	0	0	0	1	0	0	0	0	0	0	0
11.9	1958	5	0	0	0	0	1	0	0	0	0	0	0
16.1	1958	6	0	0	0	0	0	1	0	0	0	0	0
21.2	1958	7	0	0	0	0	0	0	1	0	0	0	0
20.2	1958	8	0	0	0	0	0	0	0	1	0	0	0
16.6	1958	9	0	0	0	0	0	0	0	0	1	0	0
9.7	1958	10	0	0	0	0	0	0	0	0	0	1	0
4.1	1958	11	0	0	0	0	0	0	0	0	0	0	1
-6.8	1958	12	0	0	0	0	0	0	0	0	0	0	0
-7	1959	1	1	0	0	0	0	0	0	0	0	0	0
-7.5	1959	2	0	1	0	0	0	0	0	0	0	0	0
-1.8	1959	3	0	0	1	0	0	0	0	0	0	0	0
7.1	1959	4	0	0	0	1	0	0	0	0	0	0	0
14.2	1959	5	0	0	0	0	1	0	0	0	0	0	0
19.9	1959	6	0	0	0	0	0	1	0	0	0	0	0
22.3	1959	7	0	0	0	0	0	0	1	0	0	0	0
23.8	1959	8	0	0	0	0	0	0	0	1	0	0	0
18.7	1959	9	0	0	0	0	0	0	0	0	1	0	0
9.7	1959	10	0	0	0	0	0	0	0	0	0	1	0
2.1	1959	11	0	0	0	0	0	0	0	0	0	0	1
-1.3	1959	12	0	0	0	0	0	0	0	0	0	0	0
-5	1960	1	1	0	0	0	0	0	0	0	0	0	0
-4.3	1960	2	0	1	0	0	0	0	0	0	0	0	0
-5.9	1960	3	0	0	1	0	0	0	0	0	0	0	0
7.5	1960	4	0	0	0	1	0	0	0	0	0	0	0
13.6	1960	5	0	0	0	0	1	0	0	0	0	0	0
18.2	1960	6	0	0	0	0	0	1	0	0	0	0	0
20.3	1960	7	0	0	0	0	0	0	1	0	0	0	0
20.4	1960	8	0	0	0	0	0	0	0	1	0	0	0
17.6	1960	9	0	0	0	0	0	0	0	0	1	0	0
9.9	1960	10	0	0	0	0	0	0	0	0	0	1	0
5.5	1960	11	0	0	0	0	0	0	0	0	0	0	1
-5.2	1960	12	0	0	0	0	0	0	0	0	0	0	0
-8	1961	1	1	0	0	0	0	0	0	0	0	0	0
-2.9	1961	2	0	1	0	0	0	0	0	0	0	0	0
0.1	1961	3	0	0	1	0	0	0	0	0	0	0	0
4.6	1961	4	0	0	0	1	0	0	0	0	0	0	0
11.6	1961	5	0	0	0	0	1	0	0	0	0	0	0
17.9	1961	6	0	0	0	0	0	1	0	0	0	0	0
21.1	1961	7	0	0	0	0	0	0	1	0	0	0	0
20.6	1961	8	0	0	0	0	0	0	0	1	0	0	0
19.3	1961	9	0	0	0	0	0	0	0	0	1	0	0
11.9	1961	10	0	0	0	0	0	0	0	0	0	1	0
3.2	1961	11	0	0	0	0	0	0	0	0	0	0	1
-2.3	1961	12	0	0	0	0	0	0	0	0	0	0	0
-7.1	1962	1	1	0	0	0	0	0	0	0	0	0	0
-8	1962	2	0	1	0	0	0	0	0	0	0	0	0
-0.2	1962	3	0	0	1	0	0	0	0	0	0	0	0
6.8	1962	4	0	0	0	1	0	0	0	0	0	0	0
15.9	1962	5	0	0	0	0	1	0	0	0	0	0	0
18.7	1962	6	0	0	0	0	0	1	0	0	0	0	0
19.7	1962	7	0	0	0	0	0	0	1	0	0	0	0
20.5	1962	8	0	0	0	0	0	0	0	1	0	0	0
14.5	1962	9	0	0	0	0	0	0	0	0	1	0	0
10.3	1962	10	0	0	0	0	0	0	0	0	0	1	0
2.3	1962	11	0	0	0	0	0	0	0	0	0	0	1
-4.3	1962	12	0	0	0	0	0	0	0	0	0	0	0
-8.5	1963	1	1	0	0	0	0	0	0	0	0	0	0
-9.3	1963	2	0	1	0	0	0	0	0	0	0	0	0
0.8	1963	3	0	0	1	0	0	0	0	0	0	0	0
6.8	1963	4	0	0	0	1	0	0	0	0	0	0	0
12	1963	5	0	0	0	0	1	0	0	0	0	0	0
19.2	1963	6	0	0	0	0	0	1	0	0	0	0	0
21.4	1963	7	0	0	0	0	0	0	1	0	0	0	0
18.9	1963	8	0	0	0	0	0	0	0	1	0	0	0
14	1963	9	0	0	0	0	0	0	0	0	1	0	0
13.6	1963	10	0	0	0	0	0	0	0	0	0	1	0
6.2	1963	11	0	0	0	0	0	0	0	0	0	0	1
-7.3	1963	12	0	0	0	0	0	0	0	0	0	0	0
-3.9	1964	1	1	0	0	0	0	0	0	0	0	0	0
-6	1964	2	0	1	0	0	0	0	0	0	0	0	0
-0.7	1964	3	0	0	1	0	0	0	0	0	0	0	0
5.8	1964	4	0	0	0	1	0	0	0	0	0	0	0
13.8	1964	5	0	0	0	0	1	0	0	0	0	0	0
16.7	1964	6	0	0	0	0	0	1	0	0	0	0	0
21.2	1964	7	0	0	0	0	0	0	1	0	0	0	0
16.8	1964	8	0	0	0	0	0	0	0	1	0	0	0
14.2	1964	9	0	0	0	0	0	0	0	0	1	0	0
7.6	1964	10	0	0	0	0	0	0	0	0	0	1	0
3.7	1964	11	0	0	0	0	0	0	0	0	0	0	1
-3.1	1964	12	0	0	0	0	0	0	0	0	0	0	0
-6.7	1965	1	1	0	0	0	0	0	0	0	0	0	0
-5.8	1965	2	0	1	0	0	0	0	0	0	0	0	0
-3.3	1965	3	0	0	1	0	0	0	0	0	0	0	0
3.4	1965	4	0	0	0	1	0	0	0	0	0	0	0
13.3	1965	5	0	0	0	0	1	0	0	0	0	0	0
16.4	1965	6	0	0	0	0	0	1	0	0	0	0	0
17.3	1965	7	0	0	0	0	0	0	1	0	0	0	0
18.1	1965	8	0	0	0	0	0	0	0	1	0	0	0
15.2	1965	9	0	0	0	0	0	0	0	0	1	0	0
7.3	1965	10	0	0	0	0	0	0	0	0	0	1	0
2.7	1965	11	0	0	0	0	0	0	0	0	0	0	1
-0.5	1965	12	0	0	0	0	0	0	0	0	0	0	0
-8	1966	1	1	0	0	0	0	0	0	0	0	0	0
-5.2	1966	2	0	1	0	0	0	0	0	0	0	0	0
0.7	1966	3	0	0	1	0	0	0	0	0	0	0	0
4.6	1966	4	0	0	0	1	0	0	0	0	0	0	0
9.4	1966	5	0	0	0	0	1	0	0	0	0	0	0
17.8	1966	6	0	0	0	0	0	1	0	0	0	0	0
21.3	1966	7	0	0	0	0	0	0	1	0	0	0	0
19.4	1966	8	0	0	0	0	0	0	0	1	0	0	0
14	1966	9	0	0	0	0	0	0	0	0	1	0	0
8.3	1966	10	0	0	0	0	0	0	0	0	0	1	0
3.8	1966	11	0	0	0	0	0	0	0	0	0	0	1
-3.1	1966	12	0	0	0	0	0	0	0	0	0	0	0
-3.3	1967	1	1	0	0	0	0	0	0	0	0	0	0
-8.5	1967	2	0	1	0	0	0	0	0	0	0	0	0
-2.4	1967	3	0	0	1	0	0	0	0	0	0	0	0
6.1	1967	4	0	0	0	1	0	0	0	0	0	0	0
8.5	1967	5	0	0	0	0	1	0	0	0	0	0	0
19.3	1967	6	0	0	0	0	0	1	0	0	0	0	0
18.9	1967	7	0	0	0	0	0	0	1	0	0	0	0
17.9	1967	8	0	0	0	0	0	0	0	1	0	0	0
14.1	1967	9	0	0	0	0	0	0	0	0	1	0	0
8.8	1967	10	0	0	0	0	0	0	0	0	0	1	0
1.3	1967	11	0	0	0	0	0	0	0	0	0	0	1
-1.8	1967	12	0	0	0	0	0	0	0	0	0	0	0
-8.7	1968	1	1	0	0	0	0	0	0	0	0	0	0
-7.5	1968	2	0	1	0	0	0	0	0	0	0	0	0
0.3	1968	3	0	0	1	0	0	0	0	0	0	0	0
7.6	1968	4	0	0	0	1	0	0	0	0	0	0	0
9.7	1968	5	0	0	0	0	1	0	0	0	0	0	0
16.4	1968	6	0	0	0	0	0	1	0	0	0	0	0
19.4	1968	7	0	0	0	0	0	0	1	0	0	0	0
18.7	1968	8	0	0	0	0	0	0	0	1	0	0	0
16.6	1968	9	0	0	0	0	0	0	0	0	1	0	0
10.1	1968	10	0	0	0	0	0	0	0	0	0	1	0
2.6	1968	11	0	0	0	0	0	0	0	0	0	0	1
-4.7	1968	12	0	0	0	0	0	0	0	0	0	0	0
-6.4	1969	1	1	0	0	0	0	0	0	0	0	0	0
-5	1969	2	0	1	0	0	0	0	0	0	0	0	0
-1.6	1969	3	0	0	1	0	0	0	0	0	0	0	0
6.8	1969	4	0	0	0	1	0	0	0	0	0	0	0
11.2	1969	5	0	0	0	0	1	0	0	0	0	0	0
15.9	1969	6	0	0	0	0	0	1	0	0	0	0	0
20.2	1969	7	0	0	0	0	0	0	1	0	0	0	0
20.9	1969	8	0	0	0	0	0	0	0	1	0	0	0
15.6	1969	9	0	0	0	0	0	0	0	0	1	0	0
8.3	1969	10	0	0	0	0	0	0	0	0	0	1	0
3.3	1969	11	0	0	0	0	0	0	0	0	0	0	1
-6.1	1969	12	0	0	0	0	0	0	0	0	0	0	0
-10.7	1970	1	1	0	0	0	0	0	0	0	0	0	0
-6.5	1970	2	0	1	0	0	0	0	0	0	0	0	0
-2.1	1970	3	0	0	1	0	0	0	0	0	0	0	0
6.6	1970	4	0	0	0	1	0	0	0	0	0	0	0
12	1970	5	0	0	0	0	1	0	0	0	0	0	0
17.1	1970	6	0	0	0	0	0	1	0	0	0	0	0
20.6	1970	7	0	0	0	0	0	0	1	0	0	0	0
19.6	1970	8	0	0	0	0	0	0	0	1	0	0	0
15.4	1970	9	0	0	0	0	0	0	0	0	1	0	0
10.1	1970	10	0	0	0	0	0	0	0	0	0	1	0
4.1	1970	11	0	0	0	0	0	0	0	0	0	0	1
-5.1	1970	12	0	0	0	0	0	0	0	0	0	0	0
-9	1971	1	1	0	0	0	0	0	0	0	0	0	0
-5.1	1971	2	0	1	0	0	0	0	0	0	0	0	0
-3.3	1971	3	0	0	1	0	0	0	0	0	0	0	0
4.6	1971	4	0	0	0	1	0	0	0	0	0	0	0
11.6	1971	5	0	0	0	0	1	0	0	0	0	0	0
17.9	1971	6	0	0	0	0	0	1	0	0	0	0	0
18.9	1971	7	0	0	0	0	0	0	1	0	0	0	0
18.8	1971	8	0	0	0	0	0	0	0	1	0	0	0
16.9	1971	9	0	0	0	0	0	0	0	0	1	0	0
12.6	1971	10	0	0	0	0	0	0	0	0	0	1	0
2.6	1971	11	0	0	0	0	0	0	0	0	0	0	1
-1.2	1971	12	0	0	0	0	0	0	0	0	0	0	0
-5.8	1972	1	1	0	0	0	0	0	0	0	0	0	0
-7.8	1972	2	0	1	0	0	0	0	0	0	0	0	0
-4.2	1972	3	0	0	1	0	0	0	0	0	0	0	0
2.8	1972	4	0	0	0	1	0	0	0	0	0	0	0
13	1972	5	0	0	0	0	1	0	0	0	0	0	0
15.6	1972	6	0	0	0	0	0	1	0	0	0	0	0
19.8	1972	7	0	0	0	0	0	0	1	0	0	0	0
18.5	1972	8	0	0	0	0	0	0	0	1	0	0	0
15.4	1972	9	0	0	0	0	0	0	0	0	1	0	0
6.3	1972	10	0	0	0	0	0	0	0	0	0	1	0
1.1	1972	11	0	0	0	0	0	0	0	0	0	0	1
-3	1972	12	0	0	0	0	0	0	0	0	0	0	0
-4.2	1973	1	1	0	0	0	0	0	0	0	0	0	0
-7.5	1973	2	0	1	0	0	0	0	0	0	0	0	0
3.2	1973	3	0	0	1	0	0	0	0	0	0	0	0
6.6	1973	4	0	0	0	1	0	0	0	0	0	0	0
10.9	1973	5	0	0	0	0	1	0	0	0	0	0	0
18.4	1973	6	0	0	0	0	0	1	0	0	0	0	0
20.7	1973	7	0	0	0	0	0	0	1	0	0	0	0
21.8	1973	8	0	0	0	0	0	0	0	1	0	0	0
15.6	1973	9	0	0	0	0	0	0	0	0	1	0	0
10.7	1973	10	0	0	0	0	0	0	0	0	0	1	0
3.6	1973	11	0	0	0	0	0	0	0	0	0	0	1
-4.3	1973	12	0	0	0	0	0	0	0	0	0	0	0
-5.7	1974	1	1	0	0	0	0	0	0	0	0	0	0
-7.8	1974	2	0	1	0	0	0	0	0	0	0	0	0
-0.8	1974	3	0	0	1	0	0	0	0	0	0	0	0
7	1974	4	0	0	0	1	0	0	0	0	0	0	0
9.8	1974	5	0	0	0	0	1	0	0	0	0	0	0
16.7	1974	6	0	0	0	0	0	1	0	0	0	0	0
20.3	1974	7	0	0	0	0	0	0	1	0	0	0	0
19.7	1974	8	0	0	0	0	0	0	0	1	0	0	0
13.9	1974	9	0	0	0	0	0	0	0	0	1	0	0
7.1	1974	10	0	0	0	0	0	0	0	0	0	1	0
3.2	1974	11	0	0	0	0	0	0	0	0	0	0	1
-1.2	1974	12	0	0	0	0	0	0	0	0	0	0	0
-3.2	1975	1	1	0	0	0	0	0	0	0	0	0	0
-3.8	1975	2	0	1	0	0	0	0	0	0	0	0	0
-2.3	1975	3	0	0	1	0	0	0	0	0	0	0	0
2.8	1975	4	0	0	0	1	0	0	0	0	0	0	0
15.4	1975	5	0	0	0	0	1	0	0	0	0	0	0
18.1	1975	6	0	0	0	0	0	1	0	0	0	0	0
21.7	1975	7	0	0	0	0	0	0	1	0	0	0	0
19.9	1975	8	0	0	0	0	0	0	0	1	0	0	0
13.1	1975	9	0	0	0	0	0	0	0	0	1	0	0
9.4	1975	10	0	0	0	0	0	0	0	0	0	1	0
6.4	1975	11	0	0	0	0	0	0	0	0	0	0	1
-4.7	1975	12	0	0	0	0	0	0	0	0	0	0	0
-10	1976	1	1	0	0	0	0	0	0	0	0	0	0
-2.6	1976	2	0	1	0	0	0	0	0	0	0	0	0
0.2	1976	3	0	0	1	0	0	0	0	0	0	0	0
7.6	1976	4	0	0	0	1	0	0	0	0	0	0	0
10.6	1976	5	0	0	0	0	1	0	0	0	0	0	0
18.6	1976	6	0	0	0	0	0	1	0	0	0	0	0
18.6	1976	7	0	0	0	0	0	0	1	0	0	0	0
18.6	1976	8	0	0	0	0	0	0	0	1	0	0	0
14.4	1976	9	0	0	0	0	0	0	0	0	1	0	0
6.1	1976	10	0	0	0	0	0	0	0	0	0	1	0
0.2	1976	11	0	0	0	0	0	0	0	0	0	0	1
-7.4	1976	12	0	0	0	0	0	0	0	0	0	0	0
-11.6	1977	1	1	0	0	0	0	0	0	0	0	0	0
-5.9	1977	2	0	1	0	0	0	0	0	0	0	0	0
2.2	1977	3	0	0	1	0	0	0	0	0	0	0	0
7.4	1977	4	0	0	0	1	0	0	0	0	0	0	0
14.5	1977	5	0	0	0	0	1	0	0	0	0	0	0
16.7	1977	6	0	0	0	0	0	1	0	0	0	0	0
20.5	1977	7	0	0	0	0	0	0	1	0	0	0	0
18	1977	8	0	0	0	0	0	0	0	1	0	0	0
15.1	1977	9	0	0	0	0	0	0	0	0	1	0	0
8	1977	10	0	0	0	0	0	0	0	0	0	1	0
4	1977	11	0	0	0	0	0	0	0	0	0	0	1
-4.4	1977	12	0	0	0	0	0	0	0	0	0	0	0
-8.5	1978	1	1	0	0	0	0	0	0	0	0	0	0
-9.8	1978	2	0	1	0	0	0	0	0	0	0	0	0
-3.8	1978	3	0	0	1	0	0	0	0	0	0	0	0
4	1978	4	0	0	0	1	0	0	0	0	0	0	0
13.2	1978	5	0	0	0	0	1	0	0	0	0	0	0
16.7	1978	6	0	0	0	0	0	1	0	0	0	0	0
20.4	1978	7	0	0	0	0	0	0	1	0	0	0	0
19.7	1978	8	0	0	0	0	0	0	0	1	0	0	0
14.6	1978	9	0	0	0	0	0	0	0	0	1	0	0
8.2	1978	10	0	0	0	0	0	0	0	0	0	1	0
3	1978	11	0	0	0	0	0	0	0	0	0	0	1
-2.7	1978	12	0	0	0	0	0	0	0	0	0	0	0
-7.6	1979	1	1	0	0	0	0	0	0	0	0	0	0
-10.7	1979	2	0	1	0	0	0	0	0	0	0	0	0
1.6	1979	3	0	0	1	0	0	0	0	0	0	0	0
5.3	1979	4	0	0	0	1	0	0	0	0	0	0	0
11.4	1979	5	0	0	0	0	1	0	0	0	0	0	0
17.2	1979	6	0	0	0	0	0	1	0	0	0	0	0
20.5	1979	7	0	0	0	0	0	0	1	0	0	0	0
18.6	1979	8	0	0	0	0	0	0	0	1	0	0	0
14.9	1979	9	0	0	0	0	0	0	0	0	1	0	0
8.5	1979	10	0	0	0	0	0	0	0	0	0	1	0
3.7	1979	11	0	0	0	0	0	0	0	0	0	0	1
-1	1979	12	0	0	0	0	0	0	0	0	0	0	0
-5	1980	1	1	0	0	0	0	0	0	0	0	0	0
-7.7	1980	2	0	1	0	0	0	0	0	0	0	0	0
-1.9	1980	3	0	0	1	0	0	0	0	0	0	0	0
6.2	1980	4	0	0	0	1	0	0	0	0	0	0	0
13.8	1980	5	0	0	0	0	1	0	0	0	0	0	0
15.2	1980	6	0	0	0	0	0	1	0	0	0	0	0
20.4	1980	7	0	0	0	0	0	0	1	0	0	0	0
21.3	1980	8	0	0	0	0	0	0	0	1	0	0	0
15	1980	9	0	0	0	0	0	0	0	0	1	0	0
7	1980	10	0	0	0	0	0	0	0	0	0	1	0
2.1	1980	11	0	0	0	0	0	0	0	0	0	0	1
-6.5	1980	12	0	0	0	0	0	0	0	0	0	0	0
-10.1	1981	1	1	0	0	0	0	0	0	0	0	0	0
-2	1981	2	0	1	0	0	0	0	0	0	0	0	0
0	1981	3	0	0	1	0	0	0	0	0	0	0	0
7.6	1981	4	0	0	0	1	0	0	0	0	0	0	0
11.7	1981	5	0	0	0	0	1	0	0	0	0	0	0
17.3	1981	6	0	0	0	0	0	1	0	0	0	0	0
20.6	1981	7	0	0	0	0	0	0	1	0	0	0	0
19.4	1981	8	0	0	0	0	0	0	0	1	0	0	0
14.3	1981	9	0	0	0	0	0	0	0	0	1	0	0
6.5	1981	10	0	0	0	0	0	0	0	0	0	1	0
3.4	1981	11	0	0	0	0	0	0	0	0	0	0	1
-2.8	1981	12	0	0	0	0	0	0	0	0	0	0	0
-10.1	1982	1	1	0	0	0	0	0	0	0	0	0	0
-7.6	1982	2	0	1	0	0	0	0	0	0	0	0	0
-2	1982	3	0	0	1	0	0	0	0	0	0	0	0
4.7	1982	4	0	0	0	1	0	0	0	0	0	0	0
14.3	1982	5	0	0	0	0	1	0	0	0	0	0	0
15.2	1982	6	0	0	0	0	0	1	0	0	0	0	0
20.9	1982	7	0	0	0	0	0	0	1	0	0	0	0
17.3	1982	8	0	0	0	0	0	0	0	1	0	0	0
14.8	1982	9	0	0	0	0	0	0	0	0	1	0	0
9.7	1982	10	0	0	0	0	0	0	0	0	0	1	0
3.9	1982	11	0	0	0	0	0	0	0	0	0	0	1
0.7	1982	12	0	0	0	0	0	0	0	0	0	0	0
-4.1	1983	1	1	0	0	0	0	0	0	0	0	0	0
-3.1	1983	2	0	1	0	0	0	0	0	0	0	0	0
0.6	1983	3	0	0	1	0	0	0	0	0	0	0	0
5.5	1983	4	0	0	0	1	0	0	0	0	0	0	0
10.1	1983	5	0	0	0	0	1	0	0	0	0	0	0
18.2	1983	6	0	0	0	0	0	1	0	0	0	0	0
22.3	1983	7	0	0	0	0	0	0	1	0	0	0	0
21.1	1983	8	0	0	0	0	0	0	0	1	0	0	0
16.7	1983	9	0	0	0	0	0	0	0	0	1	0	0
8.9	1983	10	0	0	0	0	0	0	0	0	0	1	0
3.3	1983	11	0	0	0	0	0	0	0	0	0	0	1
-6.4	1983	12	0	0	0	0	0	0	0	0	0	0	0
-9.6	1984	1	1	0	0	0	0	0	0	0	0	0	0
-1.5	1984	2	0	1	0	0	0	0	0	0	0	0	0
-4.6	1984	3	0	0	1	0	0	0	0	0	0	0	0
7.1	1984	4	0	0	0	1	0	0	0	0	0	0	0
10.3	1984	5	0	0	0	0	1	0	0	0	0	0	0
18.1	1984	6	0	0	0	0	0	1	0	0	0	0	0
19.8	1984	7	0	0	0	0	0	0	1	0	0	0	0
21.1	1984	8	0	0	0	0	0	0	0	1	0	0	0
13.8	1984	9	0	0	0	0	0	0	0	0	1	0	0
10.3	1984	10	0	0	0	0	0	0	0	0	0	1	0
2.6	1984	11	0	0	0	0	0	0	0	0	0	0	1
-0.1	1984	12	0	0	0	0	0	0	0	0	0	0	0
-8.3	1985	1	1	0	0	0	0	0	0	0	0	0	0
-5.8	1985	2	0	1	0	0	0	0	0	0	0	0	0
0.3	1985	3	0	0	1	0	0	0	0	0	0	0	0
7.3	1985	4	0	0	0	1	0	0	0	0	0	0	0
13.1	1985	5	0	0	0	0	1	0	0	0	0	0	0
15.6	1985	6	0	0	0	0	0	1	0	0	0	0	0
19.6	1985	7	0	0	0	0	0	0	1	0	0	0	0
19.3	1985	8	0	0	0	0	0	0	0	1	0	0	0
17	1985	9	0	0	0	0	0	0	0	0	1	0	0
9.3	1985	10	0	0	0	0	0	0	0	0	0	1	0
3.3	1985	11	0	0	0	0	0	0	0	0	0	0	1
-4.6	1985	12	0	0	0	0	0	0	0	0	0	0	0
-5.6	1986	1	1	0	0	0	0	0	0	0	0	0	0
-6.1	1986	2	0	1	0	0	0	0	0	0	0	0	0
0.3	1986	3	0	0	1	0	0	0	0	0	0	0	0
7.6	1986	4	0	0	0	1	0	0	0	0	0	0	0
14.3	1986	5	0	0	0	0	1	0	0	0	0	0	0
16.3	1986	6	0	0	0	0	0	1	0	0	0	0	0
21	1986	7	0	0	0	0	0	0	1	0	0	0	0
18.3	1986	8	0	0	0	0	0	0	0	1	0	0	0
14.6	1986	9	0	0	0	0	0	0	0	0	1	0	0
8.6	1986	10	0	0	0	0	0	0	0	0	0	1	0
1.6	1986	11	0	0	0	0	0	0	0	0	0	0	1
-1.1	1986	12	0	0	0	0	0	0	0	0	0	0	0
-4.6	1987	1	1	0	0	0	0	0	0	0	0	0	0
-5.8	1987	2	0	1	0	0	0	0	0	0	0	0	0
1.8	1987	3	0	0	1	0	0	0	0	0	0	0	0
8.8	1987	4	0	0	0	1	0	0	0	0	0	0	0
14.6	1987	5	0	0	0	0	1	0	0	0	0	0	0
19.6	1987	6	0	0	0	0	0	1	0	0	0	0	0
22.5	1987	7	0	0	0	0	0	0	1	0	0	0	0
19.6	1987	8	0	0	0	0	0	0	0	1	0	0	0
15.5	1987	9	0	0	0	0	0	0	0	0	1	0	0
7.6	1987	10	0	0	0	0	0	0	0	0	0	1	0
3.5	1987	11	0	0	0	0	0	0	0	0	0	0	1
-0.3	1987	12	0	0	0	0	0	0	0	0	0	0	0
-4.5	1988	1	1	0	0	0	0	0	0	0	0	0	0
-6.8	1988	2	0	1	0	0	0	0	0	0	0	0	0
-0.8	1988	3	0	0	1	0	0	0	0	0	0	0	0
